title;year;genres;countries;mpaa;rating;runtime;cover
The Fault in Our Stars;2014;;USA;PG-13;7.9;126;http://ia.media-imdb.com/images/M/MV5BMjA4NzkxNzc5Ml5BMl5BanBnXkFtZTgwNzQ3OTMxMTE@._V1._SX95_SY140_.jpg
Mean Girls;2004;;USA|Canada;PG-13;7.0;97;http://ia.media-imdb.com/images/M/MV5BMjE1MDQ4MjI1OV5BMl5BanBnXkFtZTcwNzcwODAzMw@@._V1._SX99_SY140_.jpg
The Perks of Being a Wallflower;2012;;USA;PG-13;8.0;102;http://ia.media-imdb.com/images/M/MV5BMzIxOTQyODU1OV5BMl5BanBnXkFtZTcwMDQ4Mjg4Nw@@._V1._SX95_SY140_.jpg
Wild Child;2008;;USA|UK|France;PG-13;6.1;98;http://ia.media-imdb.com/images/M/MV5BMTk5MDYxODYxNV5BMl5BanBnXkFtZTcwMjU5ODc4MQ@@._V1._SX94_SY140_.jpg
My Sister's Keeper;2009;;USA;PG-13;7.4;109;http://ia.media-imdb.com/images/M/MV5BMTQ2NDg4MDU3NF5BMl5BanBnXkFtZTcwMjg5Njc1Mg@@._V1._SX95_SY140_.jpg
Clueless;1995;;USA;PG-13;6.8;97;http://ia.media-imdb.com/images/M/MV5BMTgxODIxODE2MF5BMl5BanBnXkFtZTgwOTA4NjQxMTE@._V1._SX95_SY140_.jpg
Legally Blonde;2001;;USA;PG-13;6.2;96;http://ia.media-imdb.com/images/M/MV5BNTEyNjUwMTkxMV5BMl5BanBnXkFtZTcwNjk0NDk0NA@@._V1._SX93_SY140_.jpg
The Sisterhood of the Traveling Pants;2005;;USA;PG;6.6;119;http://ia.media-imdb.com/images/M/MV5BMTY0NjgyNzUwNl5BMl5BanBnXkFtZTcwMDkxNjgyMQ@@._V1._SX94_SY140_.jpg
When in Rome;2010;;USA;PG-13;5.5;91;http://ia.media-imdb.com/images/M/MV5BMTM0OTQ3MjgzN15BMl5BanBnXkFtZTcwMjMyNzg3Mg@@._V1._SX95_SY140_.jpg
Warm Bodies;2013;;USA|Canada;PG-13;6.9;98;http://ia.media-imdb.com/images/M/MV5BMTQ4MjY2MjMzOV5BMl5BanBnXkFtZTcwMDUxNzIwOQ@@._V1._CR43,43.16667175292969,1298,1960.9999542236328._SX93_SY140_.jpg
A Cinderella Story;2004;;USA|Canada;PG;5.9;95;http://ia.media-imdb.com/images/M/MV5BMTA1NDI0OTkwNDNeQTJeQWpwZ15BbWU3MDQ3Nzc1MjE@._V1._SX95_SY140_.jpg
Twilight;2008;;USA;PG-13;5.2;122;http://ia.media-imdb.com/images/M/MV5BMTQ2NzUxMTAxN15BMl5BanBnXkFtZTcwMzEyMTIwMg@@._V1._SX94_SY140_.jpg
Step Up 2: The Streets;2008;;USA;PG-13;6.2;98;http://ia.media-imdb.com/images/M/MV5BMTc0NzYxOTgxOF5BMl5BanBnXkFtZTcwMTgxMjc1MQ@@._V1._SX95_SY140_.jpg
The Princess Diaries;2001;;USA;G;6.2;115;http://ia.media-imdb.com/images/M/MV5BMTI4NjgxODE3MV5BMl5BanBnXkFtZTYwNjMyMjU5._V1._SX98_SY140_.jpg
So Undercover;2012;;USA;PG-13;5.0;94;http://ia.media-imdb.com/images/M/MV5BODEyMDE2Nzg4MV5BMl5BanBnXkFtZTcwNDI0NDE4OA@@._V1._SX99_SY140_.jpg
Jack the Giant Slayer;2013;;USA;PG-13;6.3;114;http://ia.media-imdb.com/images/M/MV5BMjE1NDMxMjI0OV5BMl5BanBnXkFtZTcwMjQyMDExOQ@@._V1._SX94_SY140_.jpg
Avatar;2009;;USA|UK;PG-13;7.9;162;http://ia.media-imdb.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1._SX95_SY140_.jpg
A Walk to Remember;2002;;USA;PG;7.4;101;http://ia.media-imdb.com/images/M/MV5BMTM1MTYzNjA3M15BMl5BanBnXkFtZTcwMjk2NTE4Mg@@._V1._SX98_SY140_.jpg
Ella Enchanted;2004;;USA|Ireland|UK;PG;6.3;96;http://ia.media-imdb.com/images/M/MV5BMTI2MjI3Nzg3NV5BMl5BanBnXkFtZTcwMjc2NTYyMQ@@._V1._SX99_SY140_.jpg
The Fast and the Furious;2001;;USA|Germany;PG-13;6.7;106;http://ia.media-imdb.com/images/M/MV5BMjAwNTQ0Nzc2M15BMl5BanBnXkFtZTcwNTk1MDIwNA@@._V1._SX90_SY140_.jpg
Easy A;2010;;USA;PG-13;7.1;92;http://ia.media-imdb.com/images/M/MV5BMjE1MzU1Mjg1OF5BMl5BanBnXkFtZTcwNDc3NDQ2Mw@@._V1._SX95_SY140_.jpg
The Secret Life of Bees;2008;;USA;PG-13;7.3;USA:114::(director's cut);http://ia.media-imdb.com/images/M/MV5BOTgzNDIzMTM2OV5BMl5BanBnXkFtZTcwMTQzNTE4MQ@@._V1._SX94_SY140_.jpg
Prom;2011;;USA;PG;5.4;104;http://ia.media-imdb.com/images/M/MV5BMTQyNDcyODI2NV5BMl5BanBnXkFtZTcwMTA3NTAzNA@@._V1._SX94_SY140_.jpg
Juno;2007;;USA;PG-13;7.5;96;http://ia.media-imdb.com/images/M/MV5BMTgxMjgyMTcyNF5BMl5BanBnXkFtZTcwMDg1MTU1MQ@@._V1._SX90_SY140_.jpg
Inception;2010;;USA|UK;PG-13;8.8;148;http://ia.media-imdb.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1._SX95_SY140_.jpg
Speak;2004;;USA;PG-13;7.4;89;http://ia.media-imdb.com/images/M/MV5BMTI4NTkwNjQ1Ml5BMl5BanBnXkFtZTcwMTgyNzUyMQ@@._V1._SX94_SY140_.jpg
The Hole;2009;;USA;PG-13;5.7;92;http://ia.media-imdb.com/images/M/MV5BMTQxMzA2NTE1M15BMl5BanBnXkFtZTcwNjc5OTUzOA@@._V1._SX97_SY140_.jpg
X-Men Origins: Wolverine;2009;;USA|UK;PG-13;6.7;107;http://ia.media-imdb.com/images/M/MV5BMTI2MTgyNjExM15BMl5BanBnXkFtZTcwNzU4MjkyMg@@._V1._SX95_SY140_.jpg
The 5th Wave;2016;;USA;PG-13;5.6;112;http://ia.media-imdb.com/images/M/MV5BMjQwOTc0Mzg3Nl5BMl5BanBnXkFtZTgwOTg3NjI2NzE@._V1._SX94_SY140_.jpg
Tomorrowland;2015;;USA|Spain;PG;6.5;130;http://ia.media-imdb.com/images/M/MV5BMTQ0MDc5MjAyNF5BMl5BanBnXkFtZTgwMzU5Mzk1NjE@._V1._SX95_SY140_.jpg
Grease;1978;;USA;PG-13;7.2;110;http://ia.media-imdb.com/images/M/MV5BMTcyMTA5MTY3MF5BMl5BanBnXkFtZTgwMTMwNzAxMDE@._V1._SX94_SY140_.jpg
American Pie;1999;;USA;R;7.0;95;http://ia.media-imdb.com/images/M/MV5BMTg3ODY5ODI1NF5BMl5BanBnXkFtZTgwMTkxNTYxMTE@._V1._SX95_SY140_.jpg
Dazed and Confused;1993;;USA;R;7.7;102;http://ia.media-imdb.com/images/M/MV5BMTM5MDY5MDQyOV5BMl5BanBnXkFtZTgwMzM3NzMxMDE@._V1._SX94_SY140_.jpg
X-Men;2000;;USA;PG-13;7.4;104;http://ia.media-imdb.com/images/M/MV5BOTU3MzA3ODYyM15BMl5BanBnXkFtZTgwMDgwNzc3NjE@._V1._SX94_SY140_.jpg
Spider-Man;2002;;USA;PG-13;7.3;121;http://ia.media-imdb.com/images/M/MV5BMzk3MTE5MDU5NV5BMl5BanBnXkFtZTYwMjY3NTY3._V1._SX95_SY140_.jpg
21 Jump Street;2012;;USA;R;7.2;109;http://ia.media-imdb.com/images/M/MV5BMTc3NzQ3OTg3NF5BMl5BanBnXkFtZTcwMjk5OTcxNw@@._V1._SX93_SY140_.jpg
The Breakfast Club;1985;;USA;R;7.9;97;http://ia.media-imdb.com/images/M/MV5BMzYyNTQ1Nzk2M15BMl5BanBnXkFtZTcwODk0NTQyMQ@@._V1._SX91_SY140_.jpg
